# Dreambuilder, mtg, random mods

advtrains:platform_high_sandstonebrick 174 170 123
advtrains:platform_high_stonebrick 84 82 81
advtrains:platform_low_sandstonebrick 174 170 123
advtrains:platform_low_stonebrick 84 82 81
advtrains:retrosignal_off 227 227 227
advtrains:retrosignal_off_30 227 227 227
advtrains:retrosignal_off_45 227 227 227
advtrains:retrosignal_off_60 227 227 227
advtrains:retrosignal_on 227 227 227
advtrains:retrosignal_on_30 227 227 227
advtrains:retrosignal_on_45 227 227 227
advtrains:retrosignal_on_60 227 227 227
advtrains:signal_off 45 45 45
advtrains:signal_off_30 45 45 45
advtrains:signal_off_45 45 45 45
advtrains:signal_off_60 45 45 45
advtrains:signal_on 45 45 45
advtrains:signal_on_30 45 45 45
advtrains:signal_on_45 45 45 45
advtrains:signal_on_60 45 45 45
advtrains_signals_ks:hs_danger_0 0 171 178
advtrains_signals_ks:hs_danger_30 0 171 178
advtrains_signals_ks:hs_danger_45 0 171 178
advtrains_signals_ks:hs_danger_60 0 171 178
advtrains_signals_ks:hs_free_0 0 171 178
advtrains_signals_ks:hs_free_30 0 171 178
advtrains_signals_ks:hs_free_45 0 171 178
advtrains_signals_ks:hs_free_60 0 171 178
advtrains_signals_ks:hs_shunt_0 0 171 178
advtrains_signals_ks:hs_shunt_30 0 171 178
advtrains_signals_ks:hs_shunt_45 0 171 178
advtrains_signals_ks:hs_shunt_60 0 171 178
advtrains_signals_ks:hs_slow_0 0 171 178
advtrains_signals_ks:hs_slow_30 0 171 178
advtrains_signals_ks:hs_slow_45 0 171 178
advtrains_signals_ks:hs_slow_60 0 171 178
advtrains_signals_ks:mast_mast_0 0 171 178
advtrains_signals_ks:mast_mast_30 0 171 178
advtrains_signals_ks:mast_mast_45 0 171 178
advtrains_signals_ks:mast_mast_60 0 171 178
advtrains_signals_ks:ra_danger_0 0 171 178
advtrains_signals_ks:ra_danger_30 0 171 178
advtrains_signals_ks:ra_danger_45 0 171 178
advtrains_signals_ks:ra_danger_60 0 171 178
advtrains_signals_ks:ra_shuntd_0 0 171 178
advtrains_signals_ks:ra_shuntd_30 0 171 178
advtrains_signals_ks:ra_shuntd_45 0 171 178
advtrains_signals_ks:ra_shuntd_60 0 171 178
advtrains_signals_ks:sign_12_0 128 128 128
advtrains_signals_ks:sign_12_30 128 128 128
advtrains_signals_ks:sign_12_45 128 128 128
advtrains_signals_ks:sign_12_60 128 128 128
advtrains_signals_ks:sign_16_0 128 128 128
advtrains_signals_ks:sign_16_30 128 128 128
advtrains_signals_ks:sign_16_45 128 128 128
advtrains_signals_ks:sign_16_60 128 128 128
advtrains_signals_ks:sign_8_0 128 128 128
advtrains_signals_ks:sign_8_30 128 128 128
advtrains_signals_ks:sign_8_45 128 128 128
advtrains_signals_ks:sign_8_60 128 128 128
advtrains_signals_ks:sign_e_0 128 128 128
advtrains_signals_ks:sign_e_30 128 128 128
advtrains_signals_ks:sign_e_45 128 128 128
advtrains_signals_ks:sign_e_60 128 128 128
advtrains_signals_ks:sign_hfs_0 128 128 128
advtrains_signals_ks:sign_hfs_30 128 128 128
advtrains_signals_ks:sign_hfs_45 128 128 128
advtrains_signals_ks:sign_hfs_60 128 128 128
advtrains_signals_ks:sign_pam_0 128 128 128
advtrains_signals_ks:sign_pam_30 128 128 128
advtrains_signals_ks:sign_pam_45 128 128 128
advtrains_signals_ks:sign_pam_60 128 128 128
advtrains:signal_wall_l_off 25 24 24
advtrains:signal_wall_l_on 25 25 25
advtrains:signal_wall_r_off 25 24 24
advtrains:signal_wall_r_on 25 25 25
advtrains:signal_wall_t_off 25 24 24
advtrains:signal_wall_t_on 25 25 25
angled_walls:brick_corner 160 165 157
angled_walls:brick_corner_135 160 165 157
angled_walls:brick_corner_225 160 165 157
angled_walls:brick_corner_315 160 165 157
angled_walls:cobble_corner 92 92 92
angled_walls:cobble_corner_135 92 92 92
angled_walls:cobble_corner_225 92 92 92
angled_walls:cobble_corner_315 92 92 92
angled_walls:desert_cobble_corner 148 90 69
angled_walls:desert_cobble_corner_135 148 90 69
angled_walls:desert_cobble_corner_225 148 90 69
angled_walls:desert_cobble_corner_315 148 90 69
angled_walls:desert_stone_brick_corner 81 49 38
angled_walls:desert_stone_brick_corner_135 81 49 38
angled_walls:desert_stone_brick_corner_225 81 49 38
angled_walls:desert_stone_brick_corner_315 81 49 38
angled_walls:desert_stone_corner 116 71 55
angled_walls:desert_stone_corner_135 116 71 55
angled_walls:desert_stone_corner_225 116 71 55
angled_walls:desert_stone_corner_315 116 71 55
angled_walls:jungle_wood_corner 47 33 11
angled_walls:jungle_wood_corner_135 47 33 11
angled_walls:jungle_wood_corner_225 47 33 11
angled_walls:jungle_wood_corner_315 47 33 11
angled_walls:sandstone_brick_corner 150 148 97
angled_walls:sandstone_brick_corner_135 150 148 97
angled_walls:sandstone_brick_corner_225 150 148 97
angled_walls:sandstone_brick_corner_315 150 148 97
angled_walls:sandstone_corner 193 187 137
angled_walls:sandstone_corner_135 193 187 137
angled_walls:sandstone_corner_225 193 187 137
angled_walls:sandstone_corner_315 193 187 137
angled_walls:steelblock_corner 156 156 156
angled_walls:steelblock_corner_135 156 156 156
angled_walls:steelblock_corner_225 156 156 156
angled_walls:steelblock_corner_315 156 156 156
angled_walls:stone_brick_corner 71 71 71
angled_walls:stone_brick_corner_135 71 71 71
angled_walls:stone_brick_corner_225 71 71 71
angled_walls:stone_brick_corner_315 71 71 71
angled_walls:stone_corner 87 84 83
angled_walls:stone_corner_135 87 84 83
angled_walls:stone_corner_225 87 84 83
angled_walls:stone_corner_315 87 84 83
angled_walls:wood_corner 165 128 73
angled_walls:wood_corner_135 165 128 73
angled_walls:wood_corner_225 165 128 73
angled_walls:wood_corner_315 165 128 73
anvil:anvil 97 94 93
anvil:anvil_bismuth_bronze 39 88 57
anvil:anvil_black_bronze 45 4 53
anvil:anvil_black_steel 10 10 10
anvil:anvil_bronze 54 45 27
anvil:anvil_copper 91 36 15
anvil:anvil_desert_stone 115 61 49
anvil:anvil_rose_gold 108 59 22
anvil:anvil_steel 38 41 46
anvil:anvil_stone 110 113 115
anvil:anvil_wrought_iron 64 71 76
apartment:apartment 127 127 127
apartment:apartment_free 127 127 127
apartment:apartment_occupied 127 127 127
apartment:autodecay 30 47 28
apartment:build_chest 63 47 32
areasprotector:display_node 144 80 180
areasprotector:protector 160 160 160
arrowboards:alternating_diamond_caution 117 66 14
arrowboards:base 228 115 1
arrowboards:flashing_arrow_dual 117 66 14
arrowboards:flashing_arrow_left 117 66 14
arrowboards:flashing_arrow_right 117 66 14
arrowboards:flashing_caution_corners 117 66 14
arrowboards:flashing_caution_line 117 66 14
arrowboards:off 117 66 14
arrowboards:seq_arrow_left 117 66 14
arrowboards:seq_arrow_right 117 66 14
arrowboards:seq_chevron_left 117 66 14
arrowboards:seq_chevron_right 117 66 14
auto_tree_tap:off 11 11 11
bakedclay:black 32 32 32
bakedclay:black_cube 32 32 32
bakedclay:black_doublepanel 32 32 32
bakedclay:black_halfstair 32 32 32
bakedclay:black_innerstair 32 32 32
bakedclay:black_micropanel 32 32 32
bakedclay:black_microslab 32 32 32
bakedclay:black_nanoslab 32 32 32
bakedclay:black_outerstair 32 32 32
bakedclay:black_panel 32 32 32
bakedclay:black_technic_cnc_cylinder 32 32 32
bakedclay:black_technic_cnc_cylinder_horizontal 32 32 32
bakedclay:black_technic_cnc_element_cross 32 32 32
bakedclay:black_technic_cnc_element_cross_double 32 32 32
bakedclay:black_technic_cnc_element_edge 32 32 32
bakedclay:black_technic_cnc_element_edge_double 32 32 32
bakedclay:black_technic_cnc_element_end 32 32 32
bakedclay:black_technic_cnc_element_end_double 32 32 32
bakedclay:black_technic_cnc_element_straight 32 32 32
bakedclay:black_technic_cnc_element_straight_double 32 32 32
bakedclay:black_technic_cnc_element_t 32 32 32
bakedclay:black_technic_cnc_element_t_double 32 32 32
bakedclay:black_technic_cnc_oblate_spheroid 32 32 32
bakedclay:black_technic_cnc_onecurvededge 32 32 32
bakedclay:black_technic_cnc_pyramid 32 32 32
bakedclay:black_technic_cnc_slope 32 32 32
bakedclay:black_technic_cnc_slope_edge 32 32 32
bakedclay:black_technic_cnc_slope_edge_upsdown 32 32 32
bakedclay:black_technic_cnc_slope_inner_edge 32 32 32
bakedclay:black_technic_cnc_slope_inner_edge_upsdown 32 32 32
bakedclay:black_technic_cnc_slope_lying 32 32 32
bakedclay:black_technic_cnc_slope_upsdown 32 32 32
bakedclay:black_technic_cnc_sphere 32 32 32
bakedclay:black_technic_cnc_spike 32 32 32
bakedclay:black_technic_cnc_stick 32 32 32
bakedclay:black_technic_cnc_twocurvededge 32 32 32
bakedclay:black_thinstair 32 32 32
bakedclay:blue 59 68 93
bakedclay:blue_cube 59 68 93
bakedclay:blue_doublepanel 59 68 93
bakedclay:blue_halfstair 59 68 93
bakedclay:blue_innerstair 59 68 93
bakedclay:blue_micropanel 59 68 93
bakedclay:blue_microslab 59 68 93
bakedclay:blue_nanoslab 59 68 93
bakedclay:blue_outerstair 59 68 93
bakedclay:blue_panel 59 68 93
bakedclay:blue_technic_cnc_cylinder 58 67 92
bakedclay:blue_technic_cnc_cylinder_horizontal 58 67 92
bakedclay:blue_technic_cnc_element_cross 58 67 92
bakedclay:blue_technic_cnc_element_cross_double 58 67 92
bakedclay:blue_technic_cnc_element_edge 58 67 92
bakedclay:blue_technic_cnc_element_edge_double 58 67 92
bakedclay:blue_technic_cnc_element_end 58 67 92
bakedclay:blue_technic_cnc_element_end_double 58 67 92
bakedclay:blue_technic_cnc_element_straight 58 67 92
bakedclay:blue_technic_cnc_element_straight_double 58 67 92
bakedclay:blue_technic_cnc_element_t 58 67 92
bakedclay:blue_technic_cnc_element_t_double 58 67 92
bakedclay:blue_technic_cnc_oblate_spheroid 58 67 92
bakedclay:blue_technic_cnc_onecurvededge 58 67 92
bakedclay:blue_technic_cnc_pyramid 58 67 92
bakedclay:blue_technic_cnc_slope 58 67 92
bakedclay:blue_technic_cnc_slope_edge 58 67 92
bakedclay:blue_technic_cnc_slope_edge_upsdown 58 67 92
bakedclay:blue_technic_cnc_slope_inner_edge 58 67 92
bakedclay:blue_technic_cnc_slope_inner_edge_upsdown 58 67 92
bakedclay:blue_technic_cnc_slope_lying 58 67 92
bakedclay:blue_technic_cnc_slope_upsdown 58 67 92
bakedclay:blue_technic_cnc_sphere 58 67 92
bakedclay:blue_technic_cnc_spike 58 67 92
bakedclay:blue_technic_cnc_stick 58 67 92
bakedclay:blue_technic_cnc_twocurvededge 58 67 92
bakedclay:blue_thinstair 59 68 93
bakedclay:brown 48 39 31
bakedclay:brown_cube 48 39 31
bakedclay:brown_doublepanel 48 39 31
bakedclay:brown_halfstair 48 39 31
bakedclay:brown_innerstair 48 39 31
bakedclay:brown_micropanel 48 39 31
bakedclay:brown_microslab 48 39 31
bakedclay:brown_nanoslab 48 39 31
bakedclay:brown_outerstair 48 39 31
bakedclay:brown_panel 48 39 31
bakedclay:brown_technic_cnc_cylinder 48 39 31
bakedclay:brown_technic_cnc_cylinder_horizontal 48 39 31
bakedclay:brown_technic_cnc_element_cross 48 39 31
bakedclay:brown_technic_cnc_element_cross_double 48 39 31
bakedclay:brown_technic_cnc_element_edge 48 39 31
bakedclay:brown_technic_cnc_element_edge_double 48 39 31
bakedclay:brown_technic_cnc_element_end 48 39 31
bakedclay:brown_technic_cnc_element_end_double 48 39 31
bakedclay:brown_technic_cnc_element_straight 48 39 31
bakedclay:brown_technic_cnc_element_straight_double 48 39 31
bakedclay:brown_technic_cnc_element_t 48 39 31
bakedclay:brown_technic_cnc_element_t_double 48 39 31
bakedclay:brown_technic_cnc_oblate_spheroid 48 39 31
bakedclay:brown_technic_cnc_onecurvededge 48 39 31
bakedclay:brown_technic_cnc_pyramid 48 39 31
bakedclay:brown_technic_cnc_slope 48 39 31
bakedclay:brown_technic_cnc_slope_edge 48 39 31
bakedclay:brown_technic_cnc_slope_edge_upsdown 48 39 31
bakedclay:brown_technic_cnc_slope_inner_edge 48 39 31
bakedclay:brown_technic_cnc_slope_inner_edge_upsdown 48 39 31
bakedclay:brown_technic_cnc_slope_lying 48 39 31
bakedclay:brown_technic_cnc_slope_upsdown 48 39 31
bakedclay:brown_technic_cnc_sphere 48 39 31
bakedclay:brown_technic_cnc_spike 48 39 31
bakedclay:brown_technic_cnc_stick 48 39 31
bakedclay:brown_technic_cnc_twocurvededge 48 39 31
bakedclay:brown_thinstair 48 39 31
bakedclay:cyan 60 96 100
bakedclay:cyan_cube 60 96 100
bakedclay:cyan_doublepanel 60 96 100
bakedclay:cyan_halfstair 60 96 100
bakedclay:cyan_innerstair 60 96 100
bakedclay:cyan_micropanel 60 96 100
bakedclay:cyan_microslab 60 96 100
bakedclay:cyan_nanoslab 60 96 100
bakedclay:cyan_outerstair 60 96 100
bakedclay:cyan_panel 60 96 100
bakedclay:cyan_technic_cnc_cylinder 59 94 99
bakedclay:cyan_technic_cnc_cylinder_horizontal 59 94 99
bakedclay:cyan_technic_cnc_element_cross 59 94 99
bakedclay:cyan_technic_cnc_element_cross_double 59 94 99
bakedclay:cyan_technic_cnc_element_edge 59 94 99
bakedclay:cyan_technic_cnc_element_edge_double 59 94 99
bakedclay:cyan_technic_cnc_element_end 59 94 99
bakedclay:cyan_technic_cnc_element_end_double 59 94 99
bakedclay:cyan_technic_cnc_element_straight 59 94 99
bakedclay:cyan_technic_cnc_element_straight_double 59 94 99
bakedclay:cyan_technic_cnc_element_t 59 94 99
bakedclay:cyan_technic_cnc_element_t_double 59 94 99
bakedclay:cyan_technic_cnc_oblate_spheroid 59 94 99
bakedclay:cyan_technic_cnc_onecurvededge 59 94 99
bakedclay:cyan_technic_cnc_pyramid 59 94 99
bakedclay:cyan_technic_cnc_slope 59 94 99
bakedclay:cyan_technic_cnc_slope_edge 59 94 99
bakedclay:cyan_technic_cnc_slope_edge_upsdown 59 94 99
bakedclay:cyan_technic_cnc_slope_inner_edge 59 94 99
bakedclay:cyan_technic_cnc_slope_inner_edge_upsdown 59 94 99
bakedclay:cyan_technic_cnc_slope_lying 59 94 99
bakedclay:cyan_technic_cnc_slope_upsdown 59 94 99
bakedclay:cyan_technic_cnc_sphere 59 94 99
bakedclay:cyan_technic_cnc_spike 59 94 99
bakedclay:cyan_technic_cnc_stick 59 94 99
bakedclay:cyan_technic_cnc_twocurvededge 59 94 99
bakedclay:cyan_thinstair 60 96 100
bakedclay:dark_green 45 70 42
bakedclay:dark_green_cube 45 70 42
bakedclay:dark_green_doublepanel 45 70 42
bakedclay:dark_green_halfstair 45 70 42
bakedclay:dark_green_innerstair 45 70 42
bakedclay:dark_green_micropanel 45 70 42
bakedclay:dark_green_microslab 45 70 42
bakedclay:dark_green_nanoslab 45 70 42
bakedclay:dark_green_outerstair 45 70 42
bakedclay:dark_green_panel 45 70 42
bakedclay:dark_green_technic_cnc_cylinder 43 69 41
bakedclay:dark_green_technic_cnc_cylinder_horizontal 43 69 41
bakedclay:dark_green_technic_cnc_element_cross 43 69 41
bakedclay:dark_green_technic_cnc_element_cross_double 43 69 41
bakedclay:dark_green_technic_cnc_element_edge 43 69 41
bakedclay:dark_green_technic_cnc_element_edge_double 43 69 41
bakedclay:dark_green_technic_cnc_element_end 43 69 41
bakedclay:dark_green_technic_cnc_element_end_double 43 69 41
bakedclay:dark_green_technic_cnc_element_straight 43 69 41
bakedclay:dark_green_technic_cnc_element_straight_double 43 69 41
bakedclay:dark_green_technic_cnc_element_t 43 69 41
bakedclay:dark_green_technic_cnc_element_t_double 43 69 41
bakedclay:dark_green_technic_cnc_oblate_spheroid 43 69 41
bakedclay:dark_green_technic_cnc_onecurvededge 43 69 41
bakedclay:dark_green_technic_cnc_pyramid 43 69 41
bakedclay:dark_green_technic_cnc_slope 43 69 41
bakedclay:dark_green_technic_cnc_slope_edge 43 69 41
bakedclay:dark_green_technic_cnc_slope_edge_upsdown 43 69 41
bakedclay:dark_green_technic_cnc_slope_inner_edge 43 69 41
bakedclay:dark_green_technic_cnc_slope_inner_edge_upsdown 43 69 41
bakedclay:dark_green_technic_cnc_slope_lying 43 69 41
bakedclay:dark_green_technic_cnc_slope_upsdown 43 69 41
bakedclay:dark_green_technic_cnc_sphere 43 69 41
bakedclay:dark_green_technic_cnc_spike 43 69 41
bakedclay:dark_green_technic_cnc_stick 43 69 41
bakedclay:dark_green_technic_cnc_twocurvededge 43 69 41
bakedclay:dark_green_thinstair 45 70 42
bakedclay:dark_grey 64 64 64
bakedclay:dark_grey_cube 64 64 64
bakedclay:dark_grey_doublepanel 64 64 64
bakedclay:dark_grey_halfstair 64 64 64
bakedclay:dark_grey_innerstair 64 64 64
bakedclay:dark_grey_micropanel 64 64 64
bakedclay:dark_grey_microslab 64 64 64
bakedclay:dark_grey_nanoslab 64 64 64
bakedclay:dark_grey_outerstair 64 64 64
bakedclay:dark_grey_panel 64 64 64
bakedclay:dark_grey_technic_cnc_cylinder 63 63 63
bakedclay:dark_grey_technic_cnc_cylinder_horizontal 63 63 63
bakedclay:dark_grey_technic_cnc_element_cross 63 63 63
bakedclay:dark_grey_technic_cnc_element_cross_double 63 63 63
bakedclay:dark_grey_technic_cnc_element_edge 63 63 63
bakedclay:dark_grey_technic_cnc_element_edge_double 63 63 63
bakedclay:dark_grey_technic_cnc_element_end 63 63 63
bakedclay:dark_grey_technic_cnc_element_end_double 63 63 63
bakedclay:dark_grey_technic_cnc_element_straight 63 63 63
bakedclay:dark_grey_technic_cnc_element_straight_double 63 63 63
bakedclay:dark_grey_technic_cnc_element_t 63 63 63
bakedclay:dark_grey_technic_cnc_element_t_double 63 63 63
bakedclay:dark_grey_technic_cnc_oblate_spheroid 63 63 63
bakedclay:dark_grey_technic_cnc_onecurvededge 63 63 63
bakedclay:dark_grey_technic_cnc_pyramid 63 63 63
bakedclay:dark_grey_technic_cnc_slope 63 63 63
bakedclay:dark_grey_technic_cnc_slope_edge 63 63 63
bakedclay:dark_grey_technic_cnc_slope_edge_upsdown 63 63 63
bakedclay:dark_grey_technic_cnc_slope_inner_edge 63 63 63
bakedclay:dark_grey_technic_cnc_slope_inner_edge_upsdown 63 63 63
bakedclay:dark_grey_technic_cnc_slope_lying 63 63 63
bakedclay:dark_grey_technic_cnc_slope_upsdown 63 63 63
bakedclay:dark_grey_technic_cnc_sphere 63 63 63
bakedclay:dark_grey_technic_cnc_spike 63 63 63
bakedclay:dark_grey_technic_cnc_stick 63 63 63
bakedclay:dark_grey_technic_cnc_twocurvededge 63 63 63
bakedclay:dark_grey_thinstair 64 64 64
bakedclay:delphinium 81 122 123
bakedclay:green 93 112 70
bakedclay:green_cube 93 112 70
bakedclay:green_doublepanel 93 112 70
bakedclay:green_halfstair 93 112 70
bakedclay:green_innerstair 93 112 70
bakedclay:green_micropanel 93 112 70
bakedclay:green_microslab 93 112 70
bakedclay:green_nanoslab 93 112 70
bakedclay:green_outerstair 93 112 70
bakedclay:green_panel 93 112 70
bakedclay:green_technic_cnc_cylinder 92 111 69
bakedclay:green_technic_cnc_cylinder_horizontal 92 111 69
bakedclay:green_technic_cnc_element_cross 92 111 69
bakedclay:green_technic_cnc_element_cross_double 92 111 69
bakedclay:green_technic_cnc_element_edge 92 111 69
bakedclay:green_technic_cnc_element_edge_double 92 111 69
bakedclay:green_technic_cnc_element_end 92 111 69
bakedclay:green_technic_cnc_element_end_double 92 111 69
bakedclay:green_technic_cnc_element_straight 92 111 69
bakedclay:green_technic_cnc_element_straight_double 92 111 69
bakedclay:green_technic_cnc_element_t 92 111 69
bakedclay:green_technic_cnc_element_t_double 92 111 69
bakedclay:green_technic_cnc_oblate_spheroid 92 111 69
bakedclay:green_technic_cnc_onecurvededge 92 111 69
bakedclay:green_technic_cnc_pyramid 92 111 69
bakedclay:green_technic_cnc_slope 92 111 69
bakedclay:green_technic_cnc_slope_edge 92 111 69
bakedclay:green_technic_cnc_slope_edge_upsdown 92 111 69
bakedclay:green_technic_cnc_slope_inner_edge 92 111 69
bakedclay:green_technic_cnc_slope_inner_edge_upsdown 92 111 69
bakedclay:green_technic_cnc_slope_lying 92 111 69
bakedclay:green_technic_cnc_slope_upsdown 92 111 69
bakedclay:green_technic_cnc_sphere 92 111 69
bakedclay:green_technic_cnc_spike 92 111 69
bakedclay:green_technic_cnc_stick 92 111 69
bakedclay:green_technic_cnc_twocurvededge 92 111 69
bakedclay:green_thinstair 93 112 70
bakedclay:grey 151 149 150
bakedclay:grey_cube 150 148 149
bakedclay:grey_doublepanel 150 148 149
bakedclay:grey_halfstair 150 148 149
bakedclay:grey_innerstair 150 148 149
bakedclay:grey_micropanel 150 148 149
bakedclay:grey_microslab 150 148 149
bakedclay:grey_nanoslab 150 148 149
bakedclay:grey_outerstair 150 148 149
bakedclay:grey_panel 150 148 149
bakedclay:grey_technic_cnc_cylinder 150 148 149
bakedclay:grey_technic_cnc_cylinder_horizontal 150 148 149
bakedclay:grey_technic_cnc_element_cross 150 148 149
bakedclay:grey_technic_cnc_element_cross_double 150 148 149
bakedclay:grey_technic_cnc_element_edge 150 148 149
bakedclay:grey_technic_cnc_element_edge_double 150 148 149
bakedclay:grey_technic_cnc_element_end 150 148 149
bakedclay:grey_technic_cnc_element_end_double 150 148 149
bakedclay:grey_technic_cnc_element_straight 150 148 149
bakedclay:grey_technic_cnc_element_straight_double 150 148 149
bakedclay:grey_technic_cnc_element_t 150 148 149
bakedclay:grey_technic_cnc_element_t_double 150 148 149
bakedclay:grey_technic_cnc_oblate_spheroid 150 148 149
bakedclay:grey_technic_cnc_onecurvededge 150 148 149
bakedclay:grey_technic_cnc_pyramid 150 148 149
bakedclay:grey_technic_cnc_slope 150 148 149
bakedclay:grey_technic_cnc_slope_edge 150 148 149
bakedclay:grey_technic_cnc_slope_edge_upsdown 150 148 149
bakedclay:grey_technic_cnc_slope_inner_edge 150 148 149
bakedclay:grey_technic_cnc_slope_inner_edge_upsdown 150 148 149
bakedclay:grey_technic_cnc_slope_lying 150 148 149
bakedclay:grey_technic_cnc_slope_upsdown 150 148 149
bakedclay:grey_technic_cnc_sphere 150 148 149
bakedclay:grey_technic_cnc_spike 150 148 149
bakedclay:grey_technic_cnc_stick 150 148 149
bakedclay:grey_technic_cnc_twocurvededge 150 148 149
bakedclay:grey_thinstair 150 148 149
bakedclay:lazarus 112 78 62
bakedclay:magenta 118 93 119
